OrderID,OrderDate,CustomerID,EmployeeID,ShipperID,ProductID,Sales,Costs,Profit,Quantity,Discount,Freight
10251,3/3/19,CST1,EMP7,2,22,21.36,16.84,4.52,6,1.02,43.41
10251,3/3/19,CST1,EMP7,2,57,332.64,288.14,44.5,15,15.84,43.41
10251,3/3/19,CST1,EMP7,2,65,185.2,156.44,28.76,20,0,43.41
10277,11/5/19,CST1,EMP7,2,28,889.6,768.61,120.99,20,0,77.65
10277,11/5/19,CST1,EMP7,2,62,360.96,311.87,49.09,12,0,77.65
10289,11/21/18,CST1,EMP8,2,3,616.2,532.4,83.8,30,0,25.25
10289,11/21/18,CST1,EMP8,2,64,320.4,276.83,43.57,9,0,25.25
10290,11/23/19,CST1,EMP7,2,5,131.4,113.53,17.87,20,0,58.77
10290,11/23/19,CST1,EMP7,2,29,1890.45,1633.35,257.1,15,0,58.77
10290,11/23/19,CST1,EMP7,2,49,294.9,254.79,40.11,15,0,58.77
10290,11/23/19,CST1,EMP7,2,77,134.9,116.55,18.35,10,0,58.77
10338,1/21/21,CST1,EMP8,2,17,524.8,453.43,71.37,20,0,52.33
10338,1/21/21,CST1,EMP8,2,30,381,329.18,51.82,15,0,52.33
10349,2/3/19,CST1,EMP7,2,54,820.32,708.76,111.56,24,0,79.64
10463,2/28/20,CST1,EMP8,2,19,203.07,168.14,34.93,21,0,40.58
10463,2/28/20,CST1,EMP8,2,42,743,615.2,127.8,50,0,40.58
10510,10/13/18,CST1,EMP7,2,29,4764.24,3944.79,819.45,36,0,50.87
10510,10/13/18,CST1,EMP7,2,75,312.44,235.19,77.26,36,28.4,50.87
10526,11/1/21,CST1,EMP8,2,1,179.68,129.37,50.31,8,23.44,72.33
10526,11/1/21,CST1,EMP8,2,13,262.4,217.27,45.13,10,0,72.33
10526,11/1/21,CST1,EMP8,2,56,1438.31,1035.58,402.73,30,187.6,72.33
10585,2/26/19,CST1,EMP7,2,47,375.6,304.24,71.36,15,0,79.86
10621,10/31/18,CST1,EMP8,2,19,49.45,40.05,9.4,5,0,60.94
10621,10/31/18,CST1,EMP8,2,23,96.4,78.08,18.32,10,0,60.94
10621,10/31/18,CST1,EMP8,2,70,546.8,442.91,103.89,20,0,60.94
10621,10/31/18,CST1,EMP8,2,71,487.05,394.51,92.54,15,0,60.94
10627,11/6/18,CST1,EMP7,2,62,460.8,373.25,87.55,15,0,64.75
10627,11/6/18,CST1,EMP7,2,73,47.49,33.92,13.58,35,6.2,64.75
10643,2/20/19,CST1,EMP8,2,28,873,565.7,307.3,15,174.6,67.91
10643,2/20/19,CST1,EMP8,2,39,1478.4,958,520.4,21,295.68,67.91
10643,2/20/19,CST1,EMP8,2,46,27.88,18.06,9.81,2,5.58,67.91
10692,7/28/18,CST1,EMP8,2,63,385,322.99,62.01,20,0,22.22
10702,3/8/19,CST1,EMP7,2,3,120.96,97.98,22.98,6,0,59.39
10702,3/8/19,CST1,EMP7,2,76,6430.35,5208.58,1221.77,15,0,59.39
10711,1/16/19,CST1,EMP8,2,19,105.24,92.95,12.29,12,0,48.73
10711,1/16/19,CST1,EMP8,2,41,393.96,319.11,74.85,42,0,48.73
10711,1/16/19,CST1,EMP8,2,53,7548,6113.88,1434.12,120,0,48.73
10732,2/1/19,CST1,EMP7,2,76,8250,6682.5,1567.5,20,0,48
10743,2/12/19,CST1,EMP8,2,46,383.08,295.52,87.56,28,18.24,23.05
10748,2/15/19,CST1,EMP7,2,23,419.76,340.01,79.75,44,0,28.47
10748,2/15/19,CST1,EMP7,2,40,720.4,609.95,110.45,40,0,28.47
10748,2/15/19,CST1,EMP7,2,56,1034.88,838.25,196.63,28,0,28.47
10750,7/16/18,CST1,EMP8,2,14,125.18,88.17,37.01,5,16.33,77.41
10750,7/16/18,CST1,EMP8,2,45,405.72,285.77,119.95,40,52.92,77.41
10750,7/16/18,CST1,EMP8,2,59,260.19,183.26,76.92,25,33.94,77.41
10757,7/22/18,CST1,EMP7,2,34,232.5,188.32,44.17,30,0,60.34
10757,7/22/18,CST1,EMP7,2,59,54.74,44.34,10.4,7,0,60.34
10757,7/22/18,CST1,EMP7,2,62,838.8,679.43,159.37,30,0,60.34
10757,7/22/18,CST1,EMP7,2,64,848.4,732.57,115.83,24,0,60.34
10764,2/28/19,CST1,EMP8,2,3,440,324,116,20,40,73.7
10764,2/28/19,CST1,EMP8,2,39,7797.79,5742.01,2055.78,130,708.89,73.7
10812,7/29/19,CST1,EMP7,2,31,155.76,122.27,33.49,16,14.16,28.2
10812,7/29/19,CST1,EMP7,2,72,551.32,405.97,145.35,40,50.12,28.2
10812,7/29/19,CST1,EMP7,2,77,275.2,222.91,52.29,20,0,28.2
10813,3/1/20,CST1,EMP8,2,2,251.28,169.61,81.67,12,41.88,53.36
10813,3/1/20,CST1,EMP8,2,46,419.65,339.92,79.73,35,0,53.36
10835,4/10/19,CST1,EMP7,2,59,120.6,114.67,5.93,15,0,45.71
10835,4/10/19,CST1,EMP7,2,77,29.52,21.7,7.82,2,4.92,45.71
10852,4/21/19,CST1,EMP8,2,2,293.55,258.91,34.64,15,0,68
10852,4/21/19,CST1,EMP8,2,17,139.44,122.99,16.45,6,0,68
10852,4/21/19,CST1,EMP8,2,62,1572,1386.5,185.5,50,0,68
10905,8/20/19,CST1,EMP7,2,1,411.6,345.74,65.86,20,19.6,60.73
10909,8/22/19,CST1,EMP8,2,7,485.64,428.33,57.31,12,0,77.43
10909,8/22/19,CST1,EMP8,2,16,148.2,130.71,17.49,15,0,77.43
10909,8/22/19,CST1,EMP8,2,41,50.45,44.5,5.95,5,0,77.43
10952,6/12/19,CST1,EMP7,2,6,65.02,60.18,4.83,16,3.1,78.07
10952,6/12/19,CST1,EMP7,2,28,89.1,78.59,10.51,2,0,78.07
10990,6/28/19,CST1,EMP8,2,21,675.35,595.66,79.69,65,0,30.9
10990,6/28/19,CST1,EMP8,2,34,516.81,396.37,120.44,60,67.41,30.9
10990,6/28/19,CST1,EMP8,2,55,2942.91,2257.08,685.83,65,383.86,30.9
10990,6/28/19,CST1,EMP8,2,61,2132.03,1635.18,496.86,66,278.09,30.9
10994,1/29/20,CST1,EMP7,2,59,155.17,130.34,24.83,18,7.39,28.57
11005,8/3/19,CST1,EMP8,2,1,38,33.52,4.48,2,0,24.92
11005,8/3/19,CST1,EMP8,2,59,88.5,78.06,10.44,10,0,24.92
11011,2/5/20,CST1,EMP7,2,58,1931.16,1622.17,308.99,40,91.96,44.28
11011,2/5/20,CST1,EMP7,2,71,634.4,559.54,74.86,20,0,44.28
11051,7/23/19,CST1,EMP8,2,24,49.68,36.51,13.17,10,8.28,76.13
11064,8/27/19,CST1,EMP7,2,17,2277.58,1826.21,451.38,77,207.05,51.2
11064,8/27/19,CST1,EMP7,2,41,122.76,108.27,14.49,12,0,51.2
11064,8/27/19,CST1,EMP7,2,53,1683.28,1349.68,333.59,25,153.03,51.2
11064,8/27/19,CST1,EMP7,2,55,174.94,140.27,34.67,4,15.9,51.2
11064,8/27/19,CST1,EMP7,2,68,627.55,553.5,74.05,55,0,51.2
10308,12/13/18,CST2,EMP2,2,69,2.12,1.83,0.29,1,0,52.09
10308,12/13/18,CST2,EMP2,2,70,147.75,127.66,20.09,5,0,52.09
10625,3/3/19,CST2,EMP3,2,14,72.75,58.93,13.82,3,0,24.44
10625,3/3/19,CST2,EMP3,2,42,74.6,60.43,14.17,5,0,24.44
10625,3/3/19,CST2,EMP3,2,60,48.7,39.45,9.25,10,0,24.44
10759,2/23/19,CST2,EMP2,2,32,198.5,160.79,37.72,10,0,31.1
10926,10/31/19,CST2,EMP3,2,11,54.98,48.49,6.49,2,0,59.53
10926,10/31/19,CST2,EMP3,2,13,235,207.27,27.73,10,0,59.53
10926,10/31/19,CST2,EMP3,2,19,60.48,53.34,7.14,7,0,59.53
10926,10/31/19,CST2,EMP3,2,72,121,106.72,14.28,10,0,59.53
10365,2/23/21,CST3,EMP2,2,11,707.52,611.3,96.22,24,0,35.04
10507,3/11/20,CST3,EMP3,2,43,196.82,141.71,55.11,15,25.67,37.11
10507,3/11/20,CST3,EMP3,2,48,551.14,396.82,154.32,15,71.89,37.11
10535,2/9/18,CST3,EMP9,2,11,1556.5,1146.15,410.35,50,141.5,47.43
10535,2/9/18,CST3,EMP9,2,40,213.4,157.14,56.26,10,19.4,47.43
10535,2/9/18,CST3,EMP9,2,57,112.09,82.54,29.55,5,10.19,47.43
10535,2/9/18,CST3,EMP9,2,59,126.39,93.07,33.32,15,11.49,47.43
10573,9/14/18,CST3,EMP9,2,17,438.66,355.31,83.35,18,0,52.32
10573,9/14/18,CST3,EMP9,2,34,295.2,239.11,56.09,40,0,52.32
10573,9/14/18,CST3,EMP9,2,53,1640.25,1328.6,311.65,25,0,52.32
10677,12/17/18,CST3,EMP9,2,26,1158.51,815.99,342.52,30,151.11,62.67
10677,12/17/18,CST3,EMP9,2,33,243.89,171.78,72.11,8,31.81,62.67
10682,12/20/18,CST3,EMP3,2,33,764.1,618.92,145.18,30,0,54.83
10682,12/20/18,CST3,EMP3,2,66,74.16,60.07,14.09,4,0,54.83
10682,12/20/18,CST3,EMP3,2,75,247.5,200.47,47.02,30,0,54.83
10856,4/23/19,CST3,EMP9,2,2,390.8,363.15,27.65,20,0,39.03
10856,4/23/19,CST3,EMP9,2,42,268,236.38,31.62,20,0,39.03
10248,9/30/19,CST4,EMP2,2,11,343.44,284.37,59.07,12,0,43.48
10248,9/30/19,CST4,EMP2,2,42,140.4,116.25,24.15,10,0,43.48
10248,9/30/19,CST4,EMP2,2,72,63.55,52.62,10.93,5,0,43.48
10741,2/9/19,CST4,EMP9,2,2,324.54,219.06,105.48,15,54.09,70.43
10864,9/29/19,CST4,EMP3,2,35,25.28,22.3,2.98,4,0,32.43
10864,9/29/19,CST4,EMP3,2,67,972.15,857.44,114.71,15,0,32.43
10953,6/12/19,CST4,EMP9,2,20,4404.75,3699.99,704.76,50,209.75,29.59
10953,6/12/19,CST4,EMP9,2,31,414.23,347.95,66.28,50,19.73,29.59
10278,11/8/15,CST5,EMP2,2,44,1292.48,1116.7,175.78,16,0,50.46
10278,11/8/15,CST5,EMP2,2,59,128.55,115.22,13.33,15,0,50.46
10278,11/8/15,CST5,EMP2,2,63,168.16,145.29,22.87,8,0,50.46
10278,11/8/15,CST5,EMP2,2,73,26.75,23.11,3.64,25,0,50.46
10280,3/10/21,CST5,EMP3,2,24,51,44.06,6.94,12,0,38.06
10280,3/10/21,CST5,EMP3,2,55,849.4,733.88,115.52,20,0,38.06
10280,3/10/21,CST5,EMP3,2,75,216.3,186.88,29.42,30,0,38.06
10384,3/26/21,CST5,EMP2,2,20,2422.28,2015.97,406.31,28,0,66.07
10384,3/26/21,CST5,EMP2,2,60,79.8,66.07,13.73,15,0,66.07
10444,7/8/21,CST5,EMP9,2,17,270,223.56,46.44,10,0,62.54
10444,7/8/21,CST5,EMP9,2,26,464.55,384.65,79.9,15,0,62.54
10444,7/8/21,CST5,EMP9,2,35,45.6,37.76,7.84,8,0,62.54
10444,7/8/21,CST5,EMP9,2,41,275.7,228.28,47.42,30,0,62.54
10445,4/9/18,CST5,EMP9,2,39,351.42,290.98,60.44,6,0,31.84
10445,4/9/18,CST5,EMP9,2,54,529.8,445.45,84.35,15,0,31.84
10524,4/27/21,CST5,EMP3,2,10,14.98,12.4,2.58,2,0,55.42
10524,4/27/21,CST5,EMP3,2,30,272.5,225.63,46.87,10,0,55.42
10524,4/27/21,CST5,EMP3,2,43,780,645.84,134.16,60,0,55.42
10524,4/27/21,CST5,EMP3,2,54,513.45,425.14,88.31,15,0,55.42
10572,9/13/18,CST5,EMP3,2,16,131.74,97.01,34.73,12,11.98,35.9
10572,9/13/18,CST5,EMP3,2,32,223.96,164.92,59.04,10,20.36,35.9
10572,9/13/18,CST5,EMP3,2,40,971.5,786.91,184.59,50,0,35.9
10572,9/13/18,CST5,EMP3,2,75,137.28,101.09,36.19,15,12.48,35.9
10626,11/6/18,CST5,EMP9,2,53,761.28,616.64,144.64,12,0,25.36
10626,11/6/18,CST5,EMP9,2,60,99,80.19,18.81,20,0,25.36
10626,11/6/18,CST5,EMP9,2,71,663.2,537.19,126.01,20,0,25.36
10654,6/28/18,CST5,EMP3,2,4,296.6,225.25,71.35,12,26.96,61.64
10654,6/28/18,CST5,EMP3,2,39,1397.88,1029.35,368.53,20,127.08,61.64
10654,6/28/18,CST5,EMP3,2,54,212.85,156.74,56.12,6,19.35,61.64
10672,12/12/18,CST5,EMP3,2,38,1367.85,1094.8,273.05,15,124.35,59.59
10672,12/12/18,CST5,EMP3,2,71,389.64,315.61,74.03,12,0,59.59
10689,7/26/18,CST5,EMP9,2,1,804.13,521.07,283.05,35,160.82,52.19
10733,5/3/18,CST5,EMP9,2,14,348.32,282.14,66.18,16,0,45.37
10733,5/3/18,CST5,EMP9,2,28,998.8,809.03,189.77,20,0,45.37
10733,5/3/18,CST5,EMP9,2,52,2147.5,1739.47,408.02,25,0,45.37
10778,3/11/19,CST5,EMP9,2,41,90.6,73.39,17.21,10,0,32.8
10837,4/11/19,CST5,EMP9,2,13,148.08,130.61,17.47,6,0,25.42
10837,4/11/19,CST5,EMP9,2,40,450.25,402.56,47.69,25,0,25.42
10837,4/11/19,CST5,EMP9,2,47,1356,956.79,399.21,40,271.2,25.42
10837,4/11/19,CST5,EMP9,2,76,10140.9,7155.42,2985.48,21,2028.18,25.42
10857,10/24/19,CST5,EMP3,2,3,587.7,518.35,69.35,30,0,38.51
10857,10/24/19,CST5,EMP3,2,26,1294.13,913.13,380.99,35,258.82,38.51
10857,10/24/19,CST5,EMP3,2,29,1521.25,1073.39,447.86,10,304.25,38.51
10866,6/29/19,CST5,EMP3,2,2,463.31,326.91,136.4,21,92.66,46.54
10866,6/29/19,CST5,EMP3,2,24,35.17,24.82,10.36,6,7.04,46.54
10866,6/29/19,CST5,EMP3,2,30,1204.5,849.9,354.6,40,240.9,46.54
10875,9/2/19,CST5,EMP9,2,19,213.75,188.53,25.22,25,0,51.98
10875,9/2/19,CST5,EMP9,2,47,564.1,452.31,111.79,21,51.28,51.98
10875,9/2/19,CST5,EMP9,2,49,324.3,286.03,38.27,15,0,51.98
10924,5/31/19,CST5,EMP3,2,10,151.58,121.54,30.04,20,13.78,31.99
10924,5/31/19,CST5,EMP3,2,28,1544.4,1238.33,306.07,30,140.4,31.99
10924,5/31/19,CST5,EMP3,2,75,44.64,39.37,5.27,6,0,31.99
10501,3/4/19,CST6,EMP7,2,54,755.8,687.42,68.38,20,0,26.97
10509,9/12/18,CST6,EMP7,2,28,149.76,134.13,15.63,3,0,54.96
10853,4/22/19,CST6,EMP8,2,18,255.2,225.09,30.11,10,0,48.8
10956,7/13/19,CST6,EMP8,2,21,120.12,105.95,14.17,12,0,55.03
10956,7/13/19,CST6,EMP8,2,47,322.56,284.5,38.06,14,0,55.03
10956,7/13/19,CST6,EMP8,2,51,785.44,692.76,92.68,8,0,55.03
11058,7/25/19,CST6,EMP7,2,21,30.9,27.25,3.65,3,0,57.52
11058,7/25/19,CST6,EMP7,2,60,115.08,101.5,13.58,21,0,57.52
11058,7/25/19,CST6,EMP7,2,61,107.88,95.15,12.73,4,0,57.52
10265,10/20/18,CST7,EMP5,1,17,717,619.49,97.51,30,0,28.57
10265,10/20/18,CST7,EMP5,1,70,556.2,486.5,69.7,20,0,28.57
10297,7/31/19,CST7,EMP4,1,39,3561,3076.7,484.3,60,0,52.73
10297,7/31/19,CST7,EMP4,1,72,239,206.5,32.5,20,0,52.73
10360,4/17/19,CST7,EMP5,1,28,1262.1,1090.45,171.65,30,0,26.24
10360,4/17/19,CST7,EMP5,1,29,4751.6,4105.38,646.22,35,0,26.24
10360,4/17/19,CST7,EMP5,1,38,807.4,697.59,109.81,10,0,26.24
10360,4/17/19,CST7,EMP5,1,49,640.15,553.09,87.06,35,0,26.24
10360,4/17/19,CST7,EMP5,1,54,1028.44,888.57,139.87,28,0,26.24
10436,5/31/18,CST7,EMP5,1,46,64.25,53.2,11.05,5,0,77.37
10436,5/31/18,CST7,EMP5,1,56,1661.44,1250.61,410.83,40,151.04,77.37
10436,5/31/18,CST7,EMP5,1,64,1199.22,902.69,296.53,30,109.02,77.37
10436,5/31/18,CST7,EMP5,1,75,189.55,142.68,46.87,24,17.23,77.37
10449,5/14/21,CST7,EMP4,1,10,97.86,81.03,16.83,14,0,51.48
10449,5/14/21,CST7,EMP4,1,52,1759.6,1456.95,302.65,20,0,51.48
10449,5/14/21,CST7,EMP4,1,62,1044.4,892.94,151.46,35,0,51.48
10559,5/1/21,CST7,EMP4,1,41,109.87,84.76,25.11,12,5.23,34.85
10559,5/1/21,CST7,EMP4,1,55,736.34,568.04,168.31,18,35.06,34.85
10566,2/8/18,CST7,EMP4,1,11,1054.55,742.77,311.78,35,137.55,51.88
10566,2/8/18,CST7,EMP4,1,18,545.65,384.33,161.32,18,71.17,51.88
10566,2/8/18,CST7,EMP4,1,76,3986.3,3228.9,757.4,10,0,51.88
10584,9/25/18,CST7,EMP5,1,31,480.38,373.34,107.04,50,22.88,75.08
10628,8/7/18,CST7,EMP5,1,1,455.75,369.16,86.59,25,0,59.28
10679,12/18/18,CST7,EMP5,1,59,102.12,82.72,19.4,12,0,62.06
10826,3/8/20,CST7,EMP4,1,31,310.1,273.51,36.59,35,0,68.66
10826,3/8/20,CST7,EMP4,1,57,280.95,247.8,33.15,15,0,68.66
10326,1/5/19,CST8,EMP5,1,4,476.16,411.4,64.76,24,0,65.69
10326,1/5/19,CST8,EMP5,1,57,287.04,248,39.04,16,0,65.69
10326,1/5/19,CST8,EMP5,1,75,406,350.78,55.22,50,0,65.69
10801,3/25/20,CST8,EMP4,1,17,1247,808.06,438.94,40,249.4,74.91
10801,3/25/20,CST8,EMP4,1,29,3298.5,2137.43,1161.07,20,659.7,74.91
